Time,Irradiation,Temperature,Incidence_Angle,Load_Signal
2024-09-19 17:08:48,1000,25,0,0
2024-09-19 17:08:59,1000,25,0,0
2024-09-19 17:09:09,1000,25,0,0
2024-09-19 17:09:19,1000,25,0,0
2024-09-19 17:09:29,1000,25,0,0
2024-09-19 17:09:40,1000,25,0,0
2024-09-19 17:09:50,1000,25,0,0
2024-09-19 17:10:00,1000,25,0,0
2024-09-19 17:10:10,1000,25,0,0
2024-09-19 17:10:20,1000,25,0,0
2024-09-19 17:10:31,1000,25,0,0
2024-09-19 17:10:41,1000,25,0,0
2024-09-19 17:10:51,1000,25,0,0
2024-09-19 17:11:01,1000,25,0,0
2024-09-19 17:11:12,1000,25,0,0
2024-09-19 17:11:22,1000,25,0,0
2024-09-19 17:11:32,1000,25,0,0
2024-09-19 17:11:42,1000,25,0,0
2024-09-19 17:11:53,1000,25,0,0
2024-09-19 17:12:03,1000,25,0,0
2024-09-19 17:12:13,1000,25,0,0
2024-09-19 17:12:23,1000,25,0,0
2024-09-19 17:12:34,1000,25,0,0
2024-09-19 17:12:44,1000,25,0,0
2024-09-19 17:12:54,1000,25,0,0
2024-09-19 17:13:04,1000,25,0,0
2024-09-19 17:13:15,1000,25,0,0
2024-09-19 17:13:25,1000,25,0,0
2024-09-19 17:13:35,1000,25,0,0
2024-09-19 17:13:45,1000,25,0,0
2024-09-19 17:13:55,1000,25,0,0
2024-09-19 17:14:06,1000,25,0,0
2024-09-19 17:14:16,1000,25,0,0
2024-09-19 17:14:26,1000,25,0,0
2024-09-19 17:14:36,1000,25,0,0
2024-09-19 17:14:47,1000,25,0,0
2024-09-19 17:14:57,1000,25,0,0
2024-09-19 17:15:07,1000,25,0,0
2024-09-19 17:15:17,1000,25,0,0
2024-09-19 17:15:28,1000,25,0,0
2024-09-19 17:15:38,1000,25,0,0
2024-09-19 17:15:48,1000,25,0,0
2024-09-19 17:15:58,1000,25,0,0
2024-09-19 17:16:09,1000,25,0,0
2024-09-19 17:16:19,1000,25,0,0
2024-09-19 17:16:29,1000,25,0,0
2024-09-19 17:16:39,1000,25,0,0
2024-09-19 17:16:50,1000,25,0,0
2024-09-19 17:17:00,1000,25,0,0
2024-09-19 17:17:10,1000,25,0,0
2024-09-19 17:17:20,1000,25,0,0
2024-09-19 17:17:31,1000,25,0,0
2024-09-19 17:17:41,1000,25,0,0
2024-09-19 17:17:51,1000,25,0,0
2024-09-19 17:18:01,1000,25,0,0
2024-09-19 17:18:11,1000,25,0,0
2024-09-19 17:18:22,1000,25,0,0
2024-09-19 17:18:32,1000,25,0,0
2024-09-19 17:18:42,1000,25,0,0
2024-09-19 17:18:52,1000,25,0,0
2024-09-19 17:19:03,1000,25,0,0
2024-09-19 17:19:13,1000,25,0,3
2024-09-19 17:19:23,1000,25,0,3
2024-09-19 17:19:33,1000,25,0,3
2024-09-19 17:19:44,1000,25,0,3
2024-09-19 17:19:54,1000,25,0,3
2024-09-19 17:20:04,1000,25,0,3
2024-09-19 17:20:14,1000,25,0,3
2024-09-19 17:20:25,1000,25,0,3
2024-09-19 17:20:35,1000,25,0,3
2024-09-19 17:20:45,1000,25,0,3
2024-09-19 17:20:55,1000,25,0,3
2024-09-19 17:21:06,1000,25,0,3
2024-09-19 17:21:16,1000,25,0,3
2024-09-19 17:21:26,1000,25,0,3
2024-09-19 17:21:36,1000,25,0,3
2024-09-19 17:21:46,1000,25,0,3
2024-09-19 17:21:57,1000,25,0,3
2024-09-19 17:22:07,1000,25,0,3
2024-09-19 17:22:17,1000,25,0,3
2024-09-19 17:22:27,1000,25,0,3
2024-09-19 17:22:38,1000,25,0,3
2024-09-19 17:22:48,1000,25,0,3
2024-09-19 17:22:58,1000,25,0,3
2024-09-19 17:23:08,1000,25,0,3
2024-09-19 17:23:19,1000,25,0,3
2024-09-19 17:23:29,1000,25,0,3
2024-09-19 17:23:39,1000,25,0,3
2024-09-19 17:23:49,1000,25,0,3
2024-09-19 17:24:00,1000,25,0,3
2024-09-19 17:24:10,1000,25,0,3
2024-09-19 17:24:20,1000,25,0,3
2024-09-19 17:24:30,1000,25,0,3
2024-09-19 17:24:41,1000,25,0,3
2024-09-19 17:24:51,1000,25,0,3
2024-09-19 17:25:01,1000,25,0,3
2024-09-19 17:25:11,1000,25,0,3
2024-09-19 17:25:21,1000,25,0,3
2024-09-19 17:25:32,1000,25,0,3
2024-09-19 17:25:42,1000,25,0,3
2024-09-19 17:25:52,1000,25,0,3
2024-09-19 17:26:02,1000,25,0,3
2024-09-19 17:26:13,1000,25,0,3
2024-09-19 17:26:23,1000,25,0,3
2024-09-19 17:26:33,1000,25,0,3
2024-09-19 17:26:43,1000,25,0,3
2024-09-19 17:26:54,1000,25,0,3
2024-09-19 17:27:04,1000,25,0,3
2024-09-19 17:27:14,1000,25,0,3
2024-09-19 17:27:24,1000,25,0,3
2024-09-19 17:27:35,1000,25,0,3
2024-09-19 17:27:45,1000,25,0,3
2024-09-19 17:27:55,1000,25,0,3
2024-09-19 17:28:05,1000,25,0,3
2024-09-19 17:28:16,1000,25,0,3
2024-09-19 17:28:26,1000,25,0,3
2024-09-19 17:28:36,1000,25,0,3
2024-09-19 17:28:46,1000,25,0,3
2024-09-19 17:28:57,1000,25,0,3
2024-09-19 17:29:07,1000,25,0,3
2024-09-19 17:29:17,1000,25,0,3
2024-09-19 17:29:27,1000,25,0,3
2024-09-19 17:29:37,1000,25,0,3
2024-09-19 17:29:48,1000,25,0,3
2024-09-19 17:29:58,1000,25,0,3
2024-09-19 17:30:08,1000,25,0,3
2024-09-19 17:30:18,1000,25,0,3
2024-09-19 17:30:29,1000,25,0,3
2024-09-19 17:30:39,1000,25,0,3
2024-09-19 17:30:49,1000,25,0,3
2024-09-19 17:30:59,1000,25,0,3
2024-09-19 17:31:10,1000,25,0,3
2024-09-19 17:31:20,1000,25,0,3
2024-09-19 17:31:30,1000,25,0,3
2024-09-19 17:31:40,1000,25,0,3
2024-09-19 17:31:51,1000,25,0,3
2024-09-19 17:32:01,1000,25,0,3
2024-09-19 17:32:11,1000,25,0,3
2024-09-19 17:32:21,1000,25,0,3
2024-09-19 17:32:32,1000,25,0,3
2024-09-19 17:32:42,1000,25,0,3
2024-09-19 17:32:52,1000,25,0,3
2024-09-19 17:33:02,1000,25,0,3
2024-09-19 17:33:12,1000,25,0,3
2024-09-19 17:33:23,1000,25,0,3
2024-09-19 17:33:33,1000,25,0,3
2024-09-19 17:33:43,1000,25,0,3
2024-09-19 17:33:53,1000,25,0,0
2024-09-19 17:34:04,1000,25,0,0
2024-09-19 17:34:14,1000,25,0,0
2024-09-19 17:34:24,1000,25,0,0
2024-09-19 17:34:34,1000,25,0,0
2024-09-19 17:34:45,1000,25,0,0
2024-09-19 17:34:55,1000,25,0,0
2024-09-19 17:35:05,1000,25,0,0
2024-09-19 17:35:15,1000,25,0,0
2024-09-19 17:35:26,1000,25,0,0
2024-09-19 17:35:36,1000,25,0,0
2024-09-19 17:35:46,1000,25,0,0
2024-09-19 17:35:56,1000,25,0,0
2024-09-19 17:36:07,1000,25,0,0
2024-09-19 17:36:17,1000,25,0,0
2024-09-19 17:36:27,1000,25,0,0
2024-09-19 17:36:37,1000,25,0,0
2024-09-19 17:36:48,1000,25,0,0
2024-09-19 17:36:58,1000,25,0,0
2024-09-19 17:37:08,1000,25,0,0
2024-09-19 17:37:18,1000,25,0,0
2024-09-19 17:37:28,1000,25,0,0
2024-09-19 17:37:39,1000,25,0,0
2024-09-19 17:37:49,1000,25,0,0
2024-09-19 17:37:59,1000,25,0,0
2024-09-19 17:38:09,1000,25,0,0
2024-09-19 17:38:20,1000,25,0,0
2024-09-19 17:38:30,1000,25,0,0
2024-09-19 17:38:40,1000,25,0,0
2024-09-19 17:38:50,1000,25,0,0
2024-09-19 17:39:01,1000,25,0,0
2024-09-19 17:39:11,1000,25,0,0
2024-09-19 17:39:21,1000,25,0,0
2024-09-19 17:39:31,1000,25,0,0
2024-09-19 17:39:42,1000,25,0,0
2024-09-19 17:39:52,1000,25,0,0
2024-09-19 17:40:02,1000,25,0,0
2024-09-19 17:40:12,1000,25,0,0
2024-09-19 17:40:22,1000,25,0,0
2024-09-19 17:40:33,1000,25,0,0
2024-09-19 17:40:43,1000,25,0,0
2024-09-19 17:40:53,1000,25,0,0
2024-09-19 17:41:03,1000,25,0,0
2024-09-19 17:41:14,1000,25,0,0
2024-09-19 17:41:24,1000,25,0,0
2024-09-19 17:41:34,1000,25,0,0
2024-09-19 17:41:44,1000,25,0,0
2024-09-19 17:41:55,1000,25,0,0
2024-09-19 17:42:05,1000,25,0,0
2024-09-19 17:42:15,1000,25,0,0
2024-09-19 17:42:25,1000,25,0,0
2024-09-19 17:42:36,1000,25,0,0
2024-09-19 17:42:46,1000,25,0,0
2024-09-19 17:42:56,1000,25,0,0
2024-09-19 17:43:06,1000,25,0,0
2024-09-19 17:43:16,1000,25,0,0
2024-09-19 17:43:27,1000,25,0,0
2024-09-19 17:43:37,1000,25,0,0
2024-09-19 17:43:47,1000,25,0,0
2024-09-19 17:43:57,300,25,0,0
2024-09-19 17:44:08,300,25,0,1
2024-09-19 17:44:18,300,25,0,1
2024-09-19 17:44:28,300,25,0,1
2024-09-19 17:44:38,300,25,0,1
2024-09-19 17:44:49,300,25,0,1
2024-09-19 17:44:59,300,25,0,1
2024-09-19 17:45:09,300,25,0,1
2024-09-19 17:45:19,300,25,0,1
2024-09-19 17:45:29,300,25,0,1
2024-09-19 17:45:40,300,25,0,1
2024-09-19 17:45:50,300,25,0,1
2024-09-19 17:46:00,300,25,0,1
2024-09-19 17:46:10,300,25,0,1
2024-09-19 17:46:21,300,25,0,1
2024-09-19 17:46:31,300,25,0,1
2024-09-19 17:46:41,300,25,0,1
2024-09-19 17:46:51,300,25,0,1
2024-09-19 17:47:02,300,25,0,1
2024-09-19 17:47:12,300,25,0,1
2024-09-19 17:47:22,300,25,0,1
2024-09-19 17:47:32,300,25,0,1
2024-09-19 17:47:42,300,25,0,1
2024-09-19 17:47:53,300,25,0,1
2024-09-19 17:48:03,300,25,0,1
2024-09-19 17:48:13,300,25,0,1
2024-09-19 17:48:23,300,25,0,1
2024-09-19 17:48:34,300,25,0,1
2024-09-19 17:48:44,300,25,0,1
2024-09-19 17:48:54,300,25,0,1
2024-09-19 17:49:04,300,25,0,1
2024-09-19 17:49:14,300,25,0,1
2024-09-19 17:49:25,300,25,0,1
2024-09-19 17:49:35,300,25,0,1
2024-09-19 17:49:45,300,25,0,1
2024-09-19 17:49:55,300,25,0,1
2024-09-19 17:50:06,300,25,0,1
2024-09-19 17:50:16,300,25,0,1
2024-09-19 17:50:26,300,25,0,1
2024-09-19 17:50:36,300,25,0,1
2024-09-19 17:50:47,300,25,0,1
2024-09-19 17:50:57,300,25,0,1
2024-09-19 17:51:07,300,25,0,1
2024-09-19 17:51:17,300,25,0,1
2024-09-19 17:51:27,300,25,0,1
2024-09-19 17:51:38,300,25,0,1
2024-09-19 17:51:48,300,25,0,1
2024-09-19 17:51:58,300,25,0,1
2024-09-19 17:52:08,300,25,0,1
2024-09-19 17:52:19,300,25,0,1
2024-09-19 17:52:29,300,25,0,1
2024-09-19 17:52:39,300,25,0,1
2024-09-19 17:52:49,300,25,0,1
2024-09-19 17:53:00,300,25,0,1
2024-09-19 17:53:10,300,25,0,1
2024-09-19 17:53:20,300,25,0,1
2024-09-19 17:53:30,300,25,0,1
2024-09-19 17:53:40,300,25,0,1
2024-09-19 17:53:51,300,25,0,1
2024-09-19 17:54:01,300,25,0,1
2024-09-19 17:54:11,300,25,0,1
2024-09-19 17:54:21,300,25,0,1
2024-09-19 17:54:32,300,25,0,1
2024-09-19 17:54:42,300,25,0,1
2024-09-19 17:54:52,300,25,0,1
2024-09-19 17:55:02,300,25,0,1
2024-09-19 17:55:13,300,25,0,1
2024-09-19 17:55:23,300,25,0,1
2024-09-19 17:55:33,300,25,0,1
2024-09-19 17:55:43,300,25,0,1
2024-09-19 17:55:53,300,25,0,1
2024-09-19 17:56:04,300,25,0,1
2024-09-19 17:56:14,300,25,0,1
2024-09-19 17:56:24,300,25,0,1
2024-09-19 17:56:34,300,25,0,1
2024-09-19 17:56:45,300,25,0,1
2024-09-19 17:56:55,300,25,0,1
2024-09-19 17:57:05,300,25,0,1
2024-09-19 17:57:15,300,25,0,1
2024-09-19 17:57:25,300,25,0,1
2024-09-19 17:57:36,300,25,0,1
2024-09-19 17:57:46,300,25,0,1
2024-09-19 17:57:56,300,25,0,1
2024-09-19 17:58:06,300,25,0,1
2024-09-19 17:58:17,300,25,0,1
2024-09-19 17:58:27,300,25,0,1
2024-09-19 17:58:37,300,25,0,1
2024-09-19 17:58:47,300,25,0,1
2024-09-19 17:58:58,1000,25,0,0
2024-09-19 17:59:08,1000,25,0,0
2024-09-19 17:59:18,1000,25,0,0
2024-09-19 17:59:28,1000,25,0,0
2024-09-19 17:59:39,1000,25,0,0
2024-09-19 17:59:49,1000,25,0,0
2024-09-19 17:59:59,1000,25,0,0
2024-09-19 18:00:09,1000,25,0,0
2024-09-19 18:00:19,1000,25,0,0
2024-09-19 18:00:30,1000,25,0,0
2024-09-19 18:00:40,1000,25,0,0
2024-09-19 18:00:50,1000,25,0,0
2024-09-19 18:01:00,1000,25,0,0
2024-09-19 18:01:11,1000,25,0,0
2024-09-19 18:01:21,1000,25,0,0
2024-09-19 18:01:31,1000,25,0,0
2024-09-19 18:01:41,1000,25,0,0
2024-09-19 18:01:52,1000,25,0,0
2024-09-19 18:02:02,1000,25,0,0
2024-09-19 18:02:12,1000,25,0,0
2024-09-19 18:02:22,1000,25,0,0
2024-09-19 18:02:33,1000,25,0,0
2024-09-19 18:02:43,1000,25,0,0
2024-09-19 18:02:53,1000,25,0,0
2024-09-19 18:03:03,1000,25,0,0
